,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
20,6,1,-0.1547073,0.38213572,0.7409619,0.24171752,0.08399625,0.41420808,-0.43137446,0.025461731,-0.14690876,-0.56382006,0.30197993,-0.38440412,-0.34716618,0.27101564,-0.04262591,0.2463948,0.22110468,-0.030711899,-0.0467562,-0.45636055,0.041514233,-0.008133588,-0.35287175,0.052198347,0.14949653,-0.10026423,-0.52691174,0.22947901,-0.103362985,-0.40192747,0.32776335,-0.5546401,-0.020669766,0.17583686,0.500325,0.18814269,-0.63996106,0.11860805,0.14946303,0.024485491,-0.41419744,0.101685874,0.12585224,-0.05502338,0.35435858,-0.38115108,0.106926344,0.048861254,0.12830298,-0.5918695,-0.20966505,0.0024287354,0.13030149,-0.13912308,0.2955285,0.38447705,0.5106422,0.25994208,0.67213637,-0.2823926,0.20346087,-0.06606966,-0.3092695,0.29774785
21,1,1,0.24927609,-0.066673376,0.5209159,0.04066563,0.34664118,0.091130055,-0.42908594,0.10435077,-0.40554917,-0.16467242,0.21547653,0.13534789,-0.37871832,0.31055647,0.026452381,0.21352412,0.21441479,0.031924162,0.12971455,-0.56792897,-0.32602578,-0.20134564,-0.14994982,-0.5143787,0.37337536,0.22029607,-0.3087141,-0.2523164,0.17583959,-0.14704792,0.20408948,-0.2534582,0.32311022,0.28689367,0.096392535,0.2905585,-0.34573796,-0.18225913,0.41111374,-0.059108112,-0.3858167,-0.16770743,0.35954466,0.0623876,0.4549396,0.35474634,0.2907169,0.09897932,0.035125185,-0.09016269,-0.26612556,0.15410012,-0.08379916,-0.41470167,0.124333076,0.35042027,0.016419187,-0.18387797,0.7533897,-0.19601063,0.27080604,0.17822032,-0.26482984,-0.28925297
22,6,1,0.31123525,-0.07973712,0.5719161,0.34026134,0.3121514,0.06017617,-0.17806266,0.50090516,0.2873572,-0.17442584,0.25684574,-0.15481038,-0.2503413,0.02359364,0.049986184,0.07387692,-0.04370941,0.1999516,-0.18379952,-0.4428516,0.39687636,-0.055158008,-0.09803139,-0.26483905,0.07404116,0.11368366,-0.4508685,0.25254834,-0.020991549,-0.24460904,-0.096043885,-0.16430166,-0.54157966,0.4100253,0.50001925,0.24620695,-0.6062977,-0.31348574,0.2730348,-0.0649068,0.1846183,0.0715694,-0.1597725,0.12521191,0.40252325,-0.012205367,0.66135186,0.028782262,0.24541384,-0.41425344,-0.3531027,-0.10606293,0.03630902,-0.29938033,-0.043535475,0.33251694,0.151505,0.30932984,0.59608984,-0.27837643,0.4183123,0.21373598,-0.31919813,0.40827328
23,6,1,-0.120367564,0.06474883,0.42091778,0.326209,0.1386758,0.39951962,-0.06288384,0.64901054,-0.4201746,-0.19940098,0.07114399,0.10233783,-0.3520182,0.3558027,-0.107921295,0.2209237,0.099857695,0.36803868,0.14127943,-0.39613143,0.30240518,-0.21529758,-0.07971665,-0.44828314,0.45372137,0.3651269,-0.4031206,0.19812837,0.1995912,-0.23097216,-0.07947164,-0.20718187,-0.1679252,0.36064848,0.3774851,0.24939664,-0.5474735,-0.18944365,0.2720292,0.27703822,0.10435762,0.26021844,-0.069816604,0.15690492,0.71467316,-0.04394696,0.3531384,-0.17801183,-0.06752813,-0.49040025,0.041983824,0.18036863,0.35874426,-0.37808427,-0.20123357,0.2373808,0.34004545,0.32677898,0.7962962,-0.38718858,0.40573853,-0.040510185,-0.46249625,-0.081460044
24,6,1,-0.018839067,0.27399343,0.74079514,0.2766093,0.16574675,0.3249551,-0.2551411,0.38958603,-0.086346395,-0.44116834,0.16987847,-0.25672102,-0.115198664,0.20866433,-0.07117969,0.3158619,0.24493587,0.41099253,0.1210594,-0.7208014,0.42932582,-0.1311876,-0.09486746,-0.031356346,0.2803008,0.1928189,-0.6578118,0.28244284,0.068164565,-0.4034627,0.3175721,-0.38041314,0.0037122385,0.40198526,0.48272216,0.26679358,-0.5532971,-0.0064724516,0.3096661,0.20140825,-0.3754012,0.26720232,-0.034637045,0.16453211,0.44523427,-0.30161694,0.30762362,-0.12780605,0.082288206,-0.67705965,-0.0015676307,-0.20399083,-0.008447066,-0.08196773,-0.0013311115,0.55053926,0.46293452,0.17454876,0.47634652,-0.25279585,0.42364,0.26610506,-0.18037581,-0.017732337
25,1,1,0.13183872,0.18247052,0.30329627,0.07921695,0.2385581,0.0011401023,-0.44839063,0.43163282,-0.27290142,-0.123146266,0.14142111,0.12406064,-0.28941774,0.34538636,-0.105893485,0.15688293,0.16669562,0.19248739,0.03520596,-0.4758541,0.034635685,0.057866555,-0.021202639,-0.11886229,0.19363761,0.0029040754,-0.45626894,-0.04108764,0.1817768,-0.25044402,-0.071171224,-0.1436789,0.06661789,0.15512773,0.3061112,0.20228367,-0.3733917,-0.07728177,0.2587245,-0.15146512,-0.42290717,-0.038837638,0.31586915,0.1856179,0.2889545,0.03142037,0.14693311,-0.070430525,0.06489242,-0.24994402,-0.32876644,0.21075034,0.05070575,-0.12960881,-0.07897262,0.22799146,0.27236226,0.10826906,0.6278151,-0.21691425,0.25482446,0.18140496,-0.1338609,-0.17993045
26,9,1,-0.023547886,-0.02495663,0.44555703,0.20333382,-0.09825972,0.1977199,-0.30605713,0.21295814,0.034088444,-0.38539046,0.22983071,-0.13063386,-0.111264005,0.08866007,-0.21097663,0.31794214,-0.15225233,0.2616934,-0.12394755,-0.5787961,0.27740067,-0.070195295,-0.29402718,0.14358571,0.37953922,-0.17660414,-0.69228834,0.09625057,-0.056123994,-0.33973098,0.02356172,-0.2318796,-0.11832536,0.10755018,0.36432156,0.09954792,-0.59509945,0.08530206,0.29215458,0.10609475,-0.4063434,0.074391596,0.23988645,0.31379724,0.5853753,-0.301883,0.42378357,-0.04349115,0.19351734,-0.4125995,-0.39082193,-0.14436403,0.07385381,-0.12009852,0.16321857,0.5776269,0.27203754,0.03816732,0.72575897,-0.002117124,0.08883037,0.17512439,-0.09262921,-0.012935546
27,9,1,0.01581593,0.02054587,0.34265646,0.12948921,0.23825403,0.13080099,-0.3953563,0.49762744,-0.08275066,0.018051183,0.17048001,0.18856873,-0.20410289,0.11840231,-0.20902997,0.3662413,0.112758756,0.062591694,0.08753991,-0.5785242,0.02773836,0.055744786,-0.09539923,-0.11118853,0.25949213,0.21771024,-0.52534866,0.006551515,0.10058164,-0.26333004,0.20576142,-0.19450635,-0.103621736,0.21831766,0.23988654,0.13389176,-0.54302776,-0.024797808,0.10406818,-0.16938311,-0.29375574,0.02012092,0.05816765,0.16952507,0.3847174,0.036516726,0.35046008,-0.12305664,0.17041364,-0.38166678,-0.3211453,0.013818859,-0.07090502,-0.21028714,-0.06531773,0.29788828,0.4497649,0.07794652,0.54098225,-0.04894411,0.18851525,0.33115134,-0.10156448,-0.18866831
28,6,1,-0.0654335,0.12037679,0.46894035,0.32094994,0.23179084,0.28160217,-0.2839377,0.6488858,0.018500337,-0.26382267,-0.010090068,-0.1429673,-0.23052543,0.08095901,-0.027788486,0.06387206,-0.07730408,0.1675659,0.06908407,-0.46591187,0.3951897,0.07127563,0.025628189,-0.1776025,0.5421852,0.20902674,-0.61112046,0.08209479,0.2997386,-0.26082265,0.26737866,-0.1935164,-0.3988723,0.28065494,0.45912594,0.08381894,-0.62657917,-0.07710979,0.1574116,0.09305596,-0.20507388,0.32776636,-0.054161713,0.24357413,0.4009521,-0.23527142,0.41681883,-0.11790528,0.21601903,-0.63157123,-0.10472199,-0.26552987,0.16975904,-0.19643405,-0.17864643,0.3523204,0.34410647,0.42194372,0.48005587,-0.40197843,0.44599584,0.20609215,-0.22484872,0.056154765
29,6,1,-0.29456338,0.37762052,0.6141758,0.37140515,0.279158,0.5363469,-0.1287374,0.3888717,-0.3984936,-0.5833025,-0.014117629,-0.19885412,-0.22051622,0.34477937,-0.014868014,0.09778412,-0.026997799,0.3005268,-0.08722609,-0.52143866,0.20439753,-0.2228596,-0.2903052,-0.054439895,0.3815649,-0.037289947,-0.59535766,0.13876939,0.25961906,-0.13448364,0.29747677,-0.49591687,-0.08967379,0.22596909,0.5502001,0.046865765,-0.696758,0.006125826,0.08807882,0.106582694,-0.12654094,0.3513266,0.24212131,-0.041319605,0.5138529,-0.2453892,0.047356073,0.052053683,-0.08124964,-0.6979296,-0.11329738,-0.27497602,0.1817662,-0.113672316,-0.3044328,0.30153313,0.3707413,0.58290076,0.54665595,-0.50487494,0.22518237,-0.10813055,-0.29446968,0.21125309
