,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
11,28,1,0.047982074,-0.18933609,-0.34509516,-0.16454934,-0.30535394,0.28623593,-0.0055012223,-0.7225337,-0.31480417,-0.17167185,-0.024555812,-0.11462961,-0.1743584,-0.119784996,0.116551585,0.042340614,-0.022258628,-0.043366324,0.2876538,0.09921726,-0.23395237,0.05287298,0.058019217,0.19620398,-0.25412086,0.10372334,-0.084346876,0.021890838,-0.1903862,-0.35650027,-0.03753642,-0.15478744
12,38,1,0.14561825,-0.35647264,-0.20307148,-0.32936823,-0.32252032,0.30593836,0.11604785,-0.843552,-0.25127876,-0.2919894,0.19878998,0.1413889,-0.13183296,-0.109174654,-0.17240134,-0.18594395,-0.018813908,-0.15268701,0.16898163,0.07428654,-0.32528535,-0.06743122,-0.10973036,0.25105506,-0.29567102,-0.23792763,-0.22703907,0.1020932,-0.32350537,-0.43763053,0.12615626,0.07787722
13,12,1,0.23156431,-0.086092114,-0.23746929,-0.2320066,-0.49361813,0.393157,-0.25907168,-0.72243,-0.39181846,-0.2770206,0.039951105,-0.048306532,-0.15794364,-0.29070345,0.08564861,0.04099532,-0.11521334,-0.032883063,-0.04245815,0.11836434,-0.28753397,0.12990063,-0.25557,0.47113368,-0.2566934,-0.10886994,-0.19434205,0.15723167,0.099845834,-0.6151185,0.097154446,-0.2592559
14,1,1,0.105778545,-0.12377568,-0.29925504,-0.17156188,-0.24337947,0.32067642,-0.014279958,-0.7628347,-0.20727174,-0.23718365,-0.08188032,-0.13692236,-0.19895522,-0.2262344,0.070725136,0.08206532,-0.2835321,-0.028205972,-0.006070053,0.18156745,-0.29945815,0.10686693,0.059528295,0.18341589,-0.1234851,-0.039846666,-0.2245175,0.07681011,-0.09091843,-0.532008,0.13354482,-0.051630598
15,19,1,0.017781429,0.045926187,-0.31304312,-0.09441574,-0.21917164,0.27666584,0.06589831,-0.8418991,-0.32868138,-0.06474879,-0.084612064,-0.08819342,-0.25699016,-0.15576114,0.047124755,0.23916638,-0.18580343,0.0057075634,0.42405778,0.14045261,-0.14066222,-0.12448327,0.1374293,0.28084478,-0.112939976,-0.18208525,-0.2706341,0.06541361,-0.14330153,-0.2915639,0.07133819,-0.17511101
16,39,1,0.0831373,-0.028083969,-0.31522927,0.07272457,-0.34075072,0.34676933,-0.10777236,-0.7388811,-0.32824233,-0.3090556,-0.002911403,-0.022088056,-0.17705925,-0.34641984,0.068569005,0.24150589,-0.2508942,-0.121013075,0.0040870677,0.17998603,-0.10346411,0.047152456,-0.22776648,0.2693036,-0.12805763,-0.047139462,-0.081535384,-0.04191529,0.08670996,-0.5204055,0.1712424,-0.099547185
17,26,1,0.35948834,-0.06810676,-0.3766858,0.11803756,-0.3834482,0.6245242,-0.16210075,-0.8523341,-0.31581968,-0.33691436,0.1549425,-0.09920634,-0.40763348,-0.34484625,0.26342234,0.22365922,-0.37600294,-0.15238123,0.046661068,-0.1981254,-0.2791918,0.041864052,-0.118053705,0.27169788,-0.28709576,-0.075439736,0.017713526,-0.08608025,0.10351861,-0.6904941,-0.27840504,-0.328268
18,24,1,0.03294231,-0.31504694,-0.11430982,-0.24621934,-0.4379862,0.3376729,0.122124486,-0.7042123,-0.28566912,-0.31842718,-0.01817539,-0.12285341,-0.1124693,-0.17891362,-0.020611884,-0.04938411,0.03857178,-0.3103255,0.18801843,0.33166635,-0.33280703,0.03218008,-0.1887313,0.23122461,-0.15246715,-0.20011601,-0.20516624,0.11874974,-0.21191797,-0.54991996,-0.17762823,-0.17372821
19,28,1,0.31264603,-0.07928191,-0.2645666,0.056750312,-0.3457452,0.44518185,0.10566359,-0.7947016,-0.13147594,-0.341665,0.0030779368,-0.026998142,-0.3165641,-0.10529108,0.122342974,0.18026261,-0.41522655,-0.19435024,0.0703645,0.12689239,-0.22506356,-0.04588064,-0.09712176,0.31912437,-0.20543079,-0.12753195,-0.008928181,-0.0012853139,-0.22964948,-0.55148727,-0.09452795,-0.1663466
20,26,1,0.41841096,0.110468544,-0.39354974,0.30005395,-0.43178186,0.39496347,0.004978515,-0.82690805,-0.18317242,-0.34151462,0.041625943,-0.10523809,-0.08213368,-0.25153676,0.23834716,0.084892645,-0.33551016,-0.029408593,0.10914886,-0.064149134,-0.24571873,0.19500354,-0.1644075,0.39199543,-0.08480739,-0.18648772,-0.2831746,-0.03387253,-0.01995429,-0.6900881,0.0095436955,-0.29677176
21,42,1,0.30754432,-0.29277435,-0.17127363,-0.08831754,-0.42951432,0.48728654,0.26414657,-0.7951836,0.060755026,-0.24798332,0.015917435,-0.04257075,-0.5833988,0.04217622,0.26846993,-0.27079308,-0.13132273,-0.30992442,0.260949,-0.22773424,-0.50674933,0.07990591,0.08906784,0.5269237,-0.4116441,-0.10915104,0.21352813,-0.031141192,-0.20903766,-0.6095475,-0.007081867,-0.011097011
22,48,1,0.14621694,0.038687207,-0.2541966,0.31160918,-0.41213962,0.32162854,-0.1178608,-0.8591436,-0.24011171,0.042055532,-0.062950484,-0.072614886,-0.282103,-0.14860812,0.13341103,0.07013262,-0.20715566,0.20825386,-0.012966938,-0.011599251,-0.08698723,0.32249284,-0.11995818,0.39878076,0.11895605,0.023662802,-0.14752905,0.19056937,0.31904683,-0.069858395,0.16434689,-0.0154227065
23,30,1,0.6540104,-0.09055786,-0.15551761,0.25509834,-0.21789561,0.61296654,0.19832619,-0.8544094,-0.2051778,-0.16773811,-0.28074345,-0.18235093,-0.18883325,-0.18894653,0.2568187,0.18535933,-0.27632055,-0.15155289,0.08659542,0.124960706,-0.29220486,0.10827054,-0.054181896,0.39351737,-0.1776599,0.075670265,0.032523006,0.085050605,0.1950588,-0.31052497,0.1812164,-0.03665106
24,45,1,0.31515476,0.13646363,-0.5084723,0.4020465,-0.42481855,0.4416586,0.10962193,-0.7835204,-0.45781863,-0.15154411,-0.02251628,-0.31840083,0.037275888,-0.46128747,0.13368817,0.48704824,-0.51218516,0.09716607,0.18579225,0.041931212,-0.07563773,0.23522268,0.07215309,0.18712437,0.0003944635,0.031451385,-0.04232376,-0.20016338,0.13644539,-0.52157974,0.10676231,-0.25905046
25,46,1,0.064816624,-0.13663183,-0.17865859,-0.2041222,-0.19356877,0.19241633,0.17585994,-0.7712561,-0.1518906,-0.15803063,-0.12744294,-0.07446868,-0.19928063,-0.14279246,0.16118847,0.07983183,-0.31409717,-0.12847179,0.27322114,0.19744287,-0.17070344,0.12451611,0.037290283,0.2250272,-0.29643953,-0.06073042,-0.097891524,-0.009013558,-0.085120924,-0.2950194,0.12897308,-0.09674695
