,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
33,3,1,-0.34477246,-0.08106118,0.09174719,0.38413575,-0.4285326,-0.020582719,0.29871663,0.13173112,0.11186433,-0.043424476,-0.8195411,0.28176162,0.46018246,0.27580664,-0.16745697,0.21087122,-0.32046142,0.36649138,-0.088473946,-0.0097956285,0.49388316,-0.04676183,0.0080929585,0.53494143,-0.3185203,-0.39288208,0.24925464,-0.3532034,0.30037862,-0.1949944,-0.12471538,0.10364781
34,8,1,-0.028512433,0.14234678,-0.09700891,0.26050532,-0.06023885,0.15590538,-0.16521494,0.15482771,0.20688361,-0.20313065,-0.5746982,0.5098023,0.19013901,-0.14603938,-0.02104203,-0.43735582,-0.3905037,0.15182935,-0.10284186,-0.0768671,0.1921553,0.30846885,0.029981699,0.46826813,0.06552274,-0.027741896,-0.21846084,-0.2767506,0.10425301,-0.14435433,0.13262802,-0.048703946
35,8,1,-0.14896935,-0.056959577,0.08749381,0.2023165,-0.23222128,-0.010538352,0.1829675,0.11431055,-0.053462666,0.08381954,-0.62394625,0.5559231,0.02118281,-0.034951407,-0.08386203,-0.129462,-0.16365446,0.16785221,-0.110576995,0.06249562,0.3534043,0.33444622,0.033466946,0.52638644,0.2431585,-0.043302827,-0.07935311,-0.31052384,0.14950337,0.0031002213,0.001982894,-0.0045623425
36,3,1,-0.12175618,-0.00016579404,0.032491114,0.47633353,-0.39916542,-0.074596465,0.22315243,0.18257321,0.14285327,0.06588303,-0.8395643,0.4046808,0.44736817,0.24610175,-0.09598165,0.1736454,-0.19587287,0.49521422,0.089792535,-0.0009097231,0.38483375,-0.00410829,0.04505395,0.47780198,-0.029252198,-0.199994,0.13611437,-0.45042253,0.39614406,-0.058734093,0.037362147,-0.054427475
37,8,1,0.23218936,0.022705441,0.1937206,0.35934547,0.12389932,0.26463056,-0.035265546,0.070576616,0.18846208,0.25218597,-0.5720165,0.5475699,0.37494063,0.162981,0.23369017,0.10157411,-0.02280043,0.41347352,-0.040434647,0.04153244,0.17988765,-0.065934986,0.09738558,0.64582145,-0.076175824,-0.16395082,0.015475393,-0.25509477,0.15731943,0.17053106,-0.20045729,0.028434902
38,9,1,-0.011053619,-0.13158312,-0.023393326,0.6053399,-0.15021214,0.068430215,0.4431537,0.123574995,0.13778555,0.11222871,-0.737542,0.19255476,0.38451827,0.22398655,0.145947,0.25171068,-0.12646262,0.5044318,0.07538255,0.020733075,0.5143068,-0.3183626,-0.10676454,0.5445534,-0.042839613,-0.33430377,0.08275527,-0.34571078,0.27036023,0.12046412,-0.029937271,-0.16988602
39,3,1,-0.25504583,-0.04381766,0.07016696,0.4458081,-0.39029816,-0.0826566,0.11096251,-0.026345726,0.24192476,-0.064804845,-0.7662156,0.35200647,0.5315675,0.05342668,-0.2448075,0.16378076,-0.4900395,0.5309322,0.0610608,-0.09125948,0.63963395,0.13772795,0.11859486,0.5074689,-0.041754168,-0.31275985,0.12557948,-0.5002312,0.48412305,0.06861975,0.003400663,-0.086973384
40,3,1,0.07033549,0.054233536,0.21495605,0.42053583,-0.4383675,0.17710166,0.26821956,-0.09903145,0.35063174,-0.120233744,-0.73400706,0.3616445,0.35271645,0.23917975,-0.023895863,0.13328922,-0.3301484,0.30194202,0.1087688,0.033874597,0.52731675,0.0069388677,0.05327195,0.54898465,-0.191872,-0.21750636,0.2052959,-0.3444092,0.39400634,0.08781369,-0.15856798,-0.15674843
41,1,1,-0.18422937,-0.005327439,0.21801506,0.5050451,-0.41090307,0.28794366,0.39206523,0.31425035,0.14127421,-0.080951184,-0.7401928,0.2761262,0.40793294,-0.056628108,0.010648228,0.0134216165,-0.31273568,0.19174428,-0.2241,0.29217193,0.4326756,-0.019658372,0.081913814,0.52110636,0.054151677,-0.533709,-0.024464479,-0.39541587,0.26880822,0.07464518,-0.15043317,-0.03410111
42,1,1,-0.07060966,0.06362718,-0.090596244,0.46723858,-0.28675446,0.20939009,0.27212793,0.17212227,0.20315002,-0.050097782,-0.62058514,0.5525312,0.45861146,-0.23005179,0.12717667,-0.059723005,-0.37945345,0.19712451,-0.21656176,0.226274,0.44138193,0.082148254,0.08689599,0.5496669,0.23021121,-0.376175,-0.18157074,-0.44788033,0.33472842,0.08687086,-0.29124933,0.105426386
43,3,1,0.105424866,0.18729211,0.0014395219,0.60994786,-0.30582902,0.20965251,0.043015294,-0.15410021,0.40852988,-0.133198,-0.6714859,0.4998779,0.46059203,0.27360368,0.08121661,0.11826941,-0.08757955,0.36278105,-0.014580781,0.05623583,0.4506218,0.027640816,0.039433025,0.5969648,0.098230705,-0.13751951,0.20015574,-0.52942884,0.26788387,0.31662348,0.13092196,-0.06118221
44,3,1,-0.11643962,-0.058553994,0.18797024,0.4409044,-0.49434534,0.08060358,0.0753537,0.14705518,0.21736449,-0.03316602,-0.80518454,0.29078233,0.40752685,0.21217164,-0.022324385,0.20363589,-0.4283693,0.33469233,-0.049547434,0.050481368,0.47541416,0.030124057,0.02134213,0.5359898,-0.14219666,-0.32829934,-0.034113456,-0.4596739,0.41876268,0.056346618,-0.16000386,-0.028816167
45,9,1,-0.03999596,-0.047589894,0.1677805,0.26248658,-0.1820025,0.12796597,0.3111569,-0.02823059,-0.07454457,0.10361476,-0.7007874,0.4987979,0.49147314,0.11482589,-0.05400926,0.038705174,-0.2651157,0.233912,0.1732943,0.20458081,0.4475277,-0.05592677,0.13254957,0.5889138,0.07461218,0.0062472825,0.026895562,-0.33512774,0.077736154,0.015505413,-0.10041066,-0.2811217
46,3,1,-0.05331685,0.11266327,0.31654358,0.4410291,-0.39833334,-0.2208787,0.048034575,0.15073808,0.22301729,-0.107916325,-0.7899908,0.42085508,0.5158246,0.22042546,-0.2766075,0.016404275,-0.37268132,0.44548482,0.06878537,-0.13256936,0.6113602,0.1316738,0.2345561,0.42269814,0.081913285,-0.22065064,0.2012838,-0.42498338,0.40602872,0.126889,-0.07758318,0.095953204
47,7,1,0.20341443,0.2507635,0.21004234,0.1372057,-0.39861912,0.14889911,-0.3380759,0.35936493,0.5546793,-0.42092404,-0.66092354,0.5534844,0.31962833,-0.28569746,-0.51918983,-0.33061928,-0.3916558,-0.02474489,0.25284305,0.027430402,0.30678573,0.23847874,0.4276247,0.34641266,0.36178243,0.18169498,0.37326875,-0.14583996,0.2750572,0.11115878,-0.24867322,0.54427457
48,3,1,0.011066343,-0.07505174,0.16721068,0.54587597,-0.5107801,0.0009912472,0.2618185,0.0809184,0.22033602,-0.017011715,-0.8245159,0.35926312,0.47047776,0.3572122,-0.2581141,0.04741752,-0.17220114,0.5559067,0.03913413,-0.12730488,0.50064903,0.17202051,0.24901624,0.427519,-0.15177263,-0.26646492,0.12447305,-0.4780028,0.33307603,0.10487133,-0.08072758,0.078068815
49,6,1,0.15365623,-0.013027289,0.16843171,0.57481116,-0.26457337,0.2016216,0.1053274,-0.14590728,0.3899387,-0.1538645,-0.729032,0.36273584,0.36259714,0.14105351,0.06874387,-0.013358536,-0.18995336,0.36517474,0.10864239,-0.025549289,0.526733,0.16075495,0.057227425,0.6227646,-0.009796361,-0.20930482,0.20034428,-0.23334584,0.29139155,0.094455205,-0.122379296,-0.15422882
50,3,1,-0.19686358,-0.05855836,0.054387882,0.4992487,-0.19899496,0.15848956,0.30961677,-0.15509985,0.17536114,-0.07694264,-0.68782574,0.26273254,0.24427655,0.357643,-0.1891,-0.041529335,-0.25315043,0.41682208,-0.034598082,-0.08218239,0.49665037,0.068765126,-0.048208687,0.5182179,-0.3179722,-0.20779775,0.070220865,-0.4227419,0.36531395,0.07937018,-0.057036873,-0.18125157
51,2,1,-0.0031134163,0.15005495,0.09278184,0.5493223,-0.07214638,0.14502995,0.16303778,0.3496794,0.19085304,-0.16279675,-0.7967125,0.50061464,0.3642572,0.0792426,-0.3580544,-0.073916204,0.06908182,0.47168535,0.07721021,0.088433005,0.35478792,-0.057281114,0.17314929,0.37657282,0.27772337,-0.51445603,0.071939744,-0.49645478,0.119364366,0.052552223,-0.049045246,0.14693792
52,7,2,0.39270887,-0.11163367,0.3230268,0.4262916,-0.3465874,-0.044372585,-0.2972475,-0.03170581,0.41964644,0.0114091,-0.6710917,0.3328134,0.38433626,-0.030844769,-0.49844876,-0.09235674,-0.020147592,0.42653286,-0.026707897,0.22740427,0.5676573,0.021963773,0.512111,0.5180132,0.15649301,-0.15974441,0.4664569,-0.27955857,0.10934954,0.0004201829,-0.154905,0.13684101
53,9,2,-0.11303607,0.077405654,0.20726459,0.45205683,-0.13984938,-0.05339677,0.15776518,0.032639038,0.14077188,-0.02065422,-0.6476696,0.48516786,0.4374531,0.08262337,0.17494111,-0.039623387,-0.27611688,0.3933081,-0.17605674,-0.004492841,0.45480505,0.15531549,0.15703,0.45400098,-0.14187814,-0.017497806,-0.046680413,-0.23087874,0.20277636,-0.36656028,-0.18673487,-0.10096892
54,4,2,0.25484592,0.52544904,0.20271672,0.47028145,0.25221387,0.08111999,-0.31977427,0.17644066,0.38697043,-0.32172212,-0.5090441,0.8239198,0.22719923,-0.13065039,-0.04724926,-0.4381407,-0.2496073,0.47348323,-0.2604646,0.1794217,-0.0037139074,0.45169786,0.53255886,0.4119799,0.38658208,0.048704617,0.073613174,-0.16280991,0.12388824,-0.053812683,-0.032367148,0.60283816
55,7,2,0.14996547,0.19579798,0.2974211,0.10077603,-0.34443137,0.36939692,-0.07863707,-0.10843837,0.3329375,-0.350158,-0.58913374,0.5164184,0.2432124,-0.007496887,-0.34356812,-0.3430895,-0.37666187,0.021873383,0.09817369,0.04672585,0.55053324,0.14887595,0.18969747,0.42893675,0.10552836,0.22432493,0.15635678,-0.09000415,0.16040668,-0.3027449,-0.24802494,0.28105095
56,6,2,0.06647386,0.14941896,0.24317154,0.33996272,-0.2404379,0.17192936,0.24036543,-0.0023856491,0.24988598,-0.10461415,-0.7114625,0.45118448,0.4329189,0.115007184,0.029337786,-0.073529884,-0.30514383,0.3713024,-0.11847011,-0.030633068,0.52751017,-0.06790438,0.2544777,0.40686622,-0.03066614,0.10511236,0.040585324,-0.40210778,0.22443806,-0.023483504,-0.16797419,-0.044083763
57,6,2,0.24454765,0.042081427,0.29678455,0.36090165,-0.39088333,0.20229691,0.24018507,0.085994445,0.24849896,-0.030962968,-0.69426984,0.41791543,0.44866312,0.2424869,-0.40230596,-0.15734129,-0.39346284,0.38058648,0.08299098,-0.15346526,0.5676704,0.036994003,0.25618646,0.5168517,-0.070971,-0.021317672,0.096711196,-0.27564687,0.16273274,-0.00041328368,-0.16747184,-0.15203814
58,9,2,0.052408475,-0.07532951,0.073135324,0.45727345,-0.37667817,0.23006567,0.3270756,0.1754454,0.11486382,-0.1694157,-0.76511705,0.2603795,0.32932752,0.28829122,-0.02091826,0.22460538,-0.03141044,0.4264743,-0.04429946,-0.13082491,0.53543115,-0.017264502,0.031852614,0.5302381,-0.087070346,-0.24213873,0.011259989,-0.37088722,0.316609,0.046755783,-0.118957035,-0.3002752
