,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
20,6,1,0.25977585,-0.14475846,0.029992865,0.109759554,-0.020504141,-0.014119015,-0.34548932,0.40423128,0.0056256135,-0.17227882,0.251355,0.022056049,0.3667964,-0.03879493,0.22668135,0.16367531,0.124961354,-0.043774653,-0.16406576,0.22323924,0.19815744,0.3049632,0.5737056,-0.4376725,0.08943475,0.037971154,0.13045095,-0.13361733,0.17515896,0.0908025,-0.21373075,0.02104677,0.16566028,-0.17839417,0.26533127,-0.08010529,0.105358794,0.25856045,0.3158613,-0.14073354,-0.27316746,0.20481755,-0.028505543,0.15719838,0.12697409,-0.20996965,-0.07092137,0.10833126,-0.65693563,0.32255363,-0.22827668,-0.2643562,0.13272496,-0.012393096,0.12111095,0.03001529,0.02570506,0.25912422,-0.2217246,-0.004351054,-0.031918112,0.059901692,-0.31748843,0.33179975
21,8,1,0.04086631,-0.296624,-0.080565624,0.16727182,0.36378595,0.011066246,-0.2549839,0.19355412,-0.23348017,-0.067208774,-0.113462344,0.17286487,0.41100287,-0.010601306,-0.038619764,0.24201015,0.120701626,0.1259583,-0.0051354836,-0.07980963,0.32305118,0.2635394,0.49333826,-0.38281053,0.019320402,0.027963279,-0.18026488,-0.2522587,0.28145185,0.44139096,-0.008712339,-0.051449012,0.50664663,0.16478176,0.3427159,0.31833693,0.055616595,0.105982274,0.46456683,0.040793195,0.13593028,-0.13220075,0.15457696,0.22014095,-0.13150205,-0.008683827,-0.24774545,0.070655815,-0.5897543,0.39452147,0.075548306,-0.37974796,0.24916549,-0.050278813,0.2034283,0.03174363,0.021998862,0.178032,-0.16037081,-0.020680027,-0.20348744,0.32988065,-0.23026219,-0.08098268
22,10,1,-0.2354852,-0.2759982,-0.17168278,-0.06838339,-0.13842064,-0.2858219,-0.07984274,0.3209602,-0.18378492,0.29828724,0.037370086,0.1954928,-0.3570727,-0.020578474,-0.09134975,0.043133464,-0.3812168,0.14918308,0.22996706,0.26058984,0.038194556,0.5403664,0.028493933,-0.3841622,0.04277403,-0.14389662,0.3465642,0.15757504,-0.15046625,0.22500935,0.06841127,-0.32349193,0.22854505,0.05557812,0.5921328,0.10478613,-0.22126144,0.092916004,0.22906163,-0.0032856583,-0.43195066,0.29229,-0.13103728,-0.24194671,0.32770774,-0.21306679,0.04727586,0.06327543,-0.4771998,0.31247184,-0.26868933,0.1063138,0.073620446,0.014000872,-0.15747829,0.44373485,-0.2110975,-0.02625402,0.28708342,-0.010543784,-0.43538997,0.11795254,-0.44075164,0.39545062
23,18,1,0.07714997,-0.34076744,-0.1666956,-0.13134758,0.3261536,-0.07515691,-0.25962168,0.28913656,-0.271289,-0.20485392,0.08099562,0.20992942,0.34693056,0.11700233,-0.11591836,0.040619824,-0.08111989,-0.17852998,0.04075892,0.121000335,0.3355107,0.6227068,0.52121025,-0.4197291,0.025804348,0.21667284,0.20347556,-0.4202115,0.20208198,0.3578202,-0.18894584,-0.10418393,0.56893665,-0.004641123,0.37837818,0.17238306,0.09913867,0.37266228,0.7062237,-0.026535777,-0.090963915,0.04694359,0.167454,0.12604174,-0.039707415,0.010065569,0.013925635,0.07032757,-0.6889722,0.32610446,-0.1924361,-0.4567006,0.08077821,0.0787686,0.14185408,0.30287978,0.11670214,0.24266182,-0.14555757,0.22707585,-0.3967526,0.18916008,-0.18023181,0.12711951
24,6,1,0.1712633,-0.14212197,0.24793509,0.05167985,0.36157838,-0.0746762,-0.27427074,0.2777757,-0.0653693,-0.1874309,0.018944852,0.0006011575,0.56742847,0.067782715,-0.08301322,0.14070627,0.013379968,0.055161458,-0.22184652,0.15054393,0.21680814,0.44208825,0.5103993,-0.27953777,0.20653684,0.031390533,-0.0018446909,-0.4331605,0.13248612,0.09995162,-0.18585284,-0.08805614,0.5272856,-0.06388802,0.46590492,0.16553864,0.07483149,0.3146404,0.4385738,-0.11388671,-0.10614812,0.095751114,0.12915839,0.15390424,-0.017652458,-0.07421738,-0.02245221,0.10830577,-0.7190523,0.41078117,-0.05779206,-0.3435058,0.1267826,0.25147924,0.14174119,-0.17898047,0.1699953,0.18308125,-0.29253224,0.11382181,-0.13791323,0.16131926,-0.3126076,0.45460072
25,31,1,-0.1355851,-0.18948093,0.11626839,0.1802084,0.27809274,0.014181706,-0.29218683,0.22731479,-0.21016847,0.1697467,-0.11641551,0.19304097,0.55241007,-0.12997921,0.03757288,0.006403934,0.062117398,0.03619762,-0.03886377,0.024463499,-0.06273118,0.23836118,0.41687557,-0.19457163,-0.023980444,0.07192915,-0.34535336,-0.23588958,0.23593564,0.2519845,0.12867147,-0.098252974,0.56665045,0.30904856,0.39102343,0.17522925,-0.030536376,0.035066914,0.5966314,0.015286208,0.16869323,-0.007810732,0.05518812,0.10834685,0.02590575,-0.19632934,-0.04924364,0.3437995,-0.671253,0.4739646,0.15677221,-0.24740218,0.10903191,-0.033188168,0.11995828,-0.12781172,0.0045057307,0.11861641,-0.12728699,-0.12414682,-0.27585107,0.0916123,-0.41036087,-0.06668788
26,6,1,0.27875686,-0.109577164,0.025344769,0.02716961,0.33560976,-0.058007464,-0.2800437,0.5119289,0.011812093,-0.34958914,0.16138099,0.08711485,0.35565537,-0.17003931,-0.057811767,0.285345,0.16499157,0.04111037,-0.07011735,0.32062837,0.2845974,0.44010937,0.6278381,-0.5212232,0.1373348,0.05744283,0.25112358,-0.22256191,0.28571114,0.25264058,-0.2519129,-0.06692164,0.33970255,-0.03140732,0.31537852,-0.044184197,0.06384473,0.26458433,0.5466864,-0.11433661,-0.141542,0.19157907,0.058504622,0.25799328,-0.14822291,-0.10768841,-0.052150343,0.17807391,-0.74697495,0.28524685,-0.034236107,-0.35829422,0.17941271,0.13183211,0.18381816,0.15154211,-0.10933669,0.15577643,-0.2288042,0.058801692,0.060379345,-0.12542053,-0.31268573,0.30099908
27,31,1,-0.12366485,-0.2687276,0.0129331,0.12394305,0.39035705,0.055892628,-0.24919523,0.21937512,-0.24102035,0.085064776,-0.12039695,0.12727372,0.46879506,-0.14689544,0.008054764,-0.07423425,0.03743298,-0.11013155,-0.14214799,0.07349296,0.017633425,0.28051642,0.32962582,-0.28646043,0.11750378,0.0457916,-0.31856185,-0.28025255,0.25804138,0.30809575,0.16495667,-0.085552536,0.5463507,0.1085026,0.2152492,0.21953176,-0.100904286,-0.014866702,0.6141184,-0.0014975059,0.09895497,0.079675585,0.088424936,0.29110992,0.085323595,-0.12495433,0.047314603,0.15791151,-0.7193555,0.44012704,0.05098024,-0.3044883,0.03438656,-0.0771778,0.03802579,-0.06880295,-0.10560622,-0.0073776976,-0.09880453,-0.05079583,-0.31663212,0.010968735,-0.37480596,0.27866817
28,25,1,-0.021271626,-0.09836974,0.07085991,0.009280302,0.40661004,0.04892343,-0.1656842,0.33883777,0.0011936569,-0.2601098,0.105940096,0.11799844,0.34677598,0.012465621,-0.16810852,-0.09983627,0.085612066,-0.13430916,-0.011582471,0.18839508,0.10771253,0.350552,0.23821092,-0.5292074,0.22466742,0.18471102,0.050163895,-0.4226091,0.16443111,0.10201636,-0.06729567,-0.2269593,0.5081062,-0.062021807,0.1934101,0.15186712,-0.12727796,0.12819055,0.6319233,0.13980353,-0.0036733283,0.21908982,0.041358914,0.20547675,-0.08097183,-0.026867043,0.32359144,0.12942173,-0.761938,0.39546064,-0.083148636,-0.49208122,0.010221163,0.050024748,0.07316326,-0.043090574,0.1687293,0.19330274,-0.09661178,0.38350484,-0.29441667,-0.16346821,-0.20076004,0.28493106
29,6,1,0.04232929,-0.17371157,0.036192577,0.15366903,0.29028404,0.019240739,-0.1943318,0.39675927,0.044122595,-0.3976243,0.1571171,0.06997859,0.29687804,0.008226269,-0.028021337,0.05793688,0.12016333,-0.14745706,-0.075758286,0.16955732,0.10949438,0.28595257,0.5476314,-0.55190367,0.1960723,0.21465598,0.15941441,-0.3751394,0.10444845,0.109740384,-0.17021962,-0.119875714,0.23814608,-0.0389827,0.06074774,0.04975112,0.14706399,0.19083406,0.4347757,0.09955239,-0.05866442,0.24525972,0.021067653,0.227698,-0.053108353,0.010610655,0.063872196,0.06455105,-0.77550817,0.4281394,-0.21707015,-0.38612702,0.11838751,-0.018217312,0.17675678,-0.025222776,0.0897145,0.26499116,-0.10033087,0.25704822,-0.021125928,-0.034620427,-0.2432724,0.18544087
